13.01.2019 16:56:43.442 0 DEBUG    103012 User:{currentUser} QtWebApp has version 1.7.4
13.01.2019 16:56:43.443 0 DEBUG    103012 User:{currentUser} HttpSessionStore: Sessions expire after 3600000 milliseconds
13.01.2019 16:56:43.444 0 DEBUG    103012 User:{currentUser} StaticFileController: docroot=E:/QtProj/QtWebApp/MyFirstWebApp_8/docroot, encoding=UTF-8, maxAge=90000
13.01.2019 16:56:43.444 0 DEBUG    103012 User:{currentUser} StaticFileController: cache timeout=60000, size=1000000
13.01.2019 16:56:43.445 0 DEBUG    103012 User:{currentUser} TemplateLoader: path=E:/QtProj/QtWebApp/MyFirstWebApp_8/docroot, codec=UTF-8
13.01.2019 16:56:43.445 0 DEBUG    103012 User:{currentUser} TemplateCache: timeout=60000, size=1000000
13.01.2019 16:56:43.498 0 DEBUG    103012 User:{currentUser} HttpListener: Listening on port 8080
13.01.2019 16:56:50.209 0 DEBUG    103012 User:{currentUser} HttpListener: New connection
13.01.2019 16:56:50.209 0 DEBUG    103012 User:{currentUser} HttpConnectionHandler (0x13c37a8): constructed
13.01.2019 16:56:50.325 0 DEBUG    21368 User:{currentUser} HttpConnectionHandler (0x13c37a8): thread started
13.01.2019 16:56:50.326 0 DEBUG    21368 User:{currentUser} HttpConnectionHandler (0x13c37a8): handle new connection
13.01.2019 16:56:50.327 0 DEBUG    21368 User:{currentUser} HttpConnectionHandler (0x13c37a8): read input
13.01.2019 16:56:50.328 0 DEBUG    21368 User:{currentUser} HttpRequest: read request
13.01.2019 16:56:50.328 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.328 0 DEBUG    21368 User:{currentUser} HttpRequest: received header host: localhost:8080
13.01.2019 16:56:50.329 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.329 0 DEBUG    21368 User:{currentUser} HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
13.01.2019 16:56:50.330 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.330 0 DEBUG    21368 User:{currentUser} HttpRequest: received header accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
13.01.2019 16:56:50.330 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.330 0 DEBUG    21368 User:{currentUser} HttpRequest: received header accept-language: en-US,en;q=0.5
13.01.2019 16:56:50.330 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.330 0 DEBUG    21368 User:{currentUser} HttpRequest: received header accept-encoding: gzip, deflate
13.01.2019 16:56:50.331 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.331 0 DEBUG    21368 User:{currentUser} HttpRequest: received header connection: keep-alive
13.01.2019 16:56:50.331 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.331 0 DEBUG    21368 User:{currentUser} HttpRequest: received header cookie: sessionid={cd59ff7e-fc27-4b56-acf8-f5750a9c5d89}
13.01.2019 16:56:50.331 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.332 0 DEBUG    21368 User:{currentUser} HttpRequest: received header upgrade-insecure-requests: 1
13.01.2019 16:56:50.332 0 DEBUG    21368 User:{currentUser} HttpRequest: read header
13.01.2019 16:56:50.332 0 DEBUG    21368 User:{currentUser} HttpRequest: headers completed
13.01.2019 16:56:50.332 0 DEBUG    21368 User:{currentUser} HttpRequest: expect no body
13.01.2019 16:56:50.332 0 DEBUG    21368 User:{currentUser} HttpRequest: extract and decode request parameters
13.01.2019 16:56:50.333 0 DEBUG    21368 User:{currentUser} HttpRequest: extract cookies
13.01.2019 16:56:50.333 0 DEBUG    21368 User:{currentUser} HttpRequest: found cookie sessionid={cd59ff7e-fc27-4b56-acf8-f5750a9c5d89}
13.01.2019 16:56:50.333 0 DEBUG    21368 User:{currentUser} HttpConnectionHandler (0x13c37a8): received request
